Cites,Author,Title,Year,Abstract,URL,
"6578","M Dorigo, M Birattari, C Blum, M Clerc, T St?tzle? - 2008 - books.google.com","Ant Colony Optimization and Swarm Intelligence: 6th International Conference, ANTS 2008, Brussels, Belgium, September 22-24, 2008, Proceedings"," 2008 ","... Lecture Notes in Computer Science Commenced Publication in 1973 Founding and Former Series Editors: Gerhard Goos, Juris Hartmanis, and Jan van Leeuwen Editorial Board David Hutchison Lancaster University, UK Takeo Kanade Carnegie Mellon University, Pittsburgh ...","https://scholar.google.com.au//scholar?cites=12499644464540065614&amp;as_sdt=2005&amp;sciodt=0,5&amp;hl=en",
"4852","R Reiter - Artificial intelligence, 1980 - Elsevier","A logic for default reasoning"," 1980 ","... A logic for default reasoning. R. Reiter. Department of Computer Science, University of British Columbia, Vancouver, BC, Canada. Received 22 August 1979, Available online 21 February 2003 Recommended by Patrick J. Hayes. Abstract. ... of Computer Science, Univ. ...","https://scholar.google.com.au//scholar?cites=337657906261456128&amp;as_sdt=2005&amp;sciodt=0,5&amp;hl=en",
"431","P Blackburn, M De Rijke, Y Venema - 2001 - Cambridge University Press ?","Modal logic, volume 53 of Cambridge tracts in theoretical computer science"," 2001 ","","https://scholar.google.com.au//scholar?cites=2340708199032138679&amp;as_sdt=2005&amp;sciodt=0,5&amp;hl=en",
"2615","WB Frakes, R Baeza-Yates - 1992 - citeulike.org","Information retrieval: data structures and algorithms"," 1992 ","... Find this article at. (Save current location: 66.249.78.51). Abstract. Information retrieval is a sub-field of computer science that deals with the automated storage and retrieval of documents. Providing the latest information retrieval ...","https://scholar.google.com.au//scholar?cites=2857077361231042158&amp;as_sdt=2005&amp;sciodt=0,5&amp;hl=en",
"611","S Abramsky - Theoretical computer science, 1993 - Elsevier","Computational interpretations of linear logic"," 1993 ","Abstract We study Girard's linear logic from the point of view of giving a concrete computational interpretation of the logic, based on the Curry?Howard isomorphism. In the case of Intuitionistic linear logic, this leads to a refinement of the lambda calculus, giving ...","https://scholar.google.com.au//scholar?cites=14512084115300869367&amp;as_sdt=2005&amp;sciodt=0,5&amp;hl=en",
"2259","DF D'souza, AC Wills - 1998 - dl.acm.org","Objects, components, and frameworks with UML: the catalysis approach"," 1998 ","","https://scholar.google.com.au//scholar?cites=8128136381175421094&amp;as_sdt=2005&amp;sciodt=0,5&amp;hl=en",
"273","R Anderson, R Anderson, B Simon, SA Wolfman? - ACM SIGCSE ?, 2004 - dl.acm.org","Experiences with a tablet PC based lecture presentation system in computer science courses"," 2004 ","Abstract Computer science instructors frequently teach using slides displayed with a computer and a data projector. This has many advantages, eg, ability to present prepared materials and ease of switching the display to a development environment during mid- ...","https://scholar.google.com.au//scholar?cites=13092583643271658648&amp;as_sdt=2005&amp;sciodt=0,5&amp;hl=en",
"409","JL Kolodner - Cognitive science, 1983 - Elsevier","Reconstructive memory: A computer model"," 1983 ","This study presents a process model of very long-term episodic memory. The process presented is a reconstructive process. The process involves application of three kinds of reconstructive strategies?component-to-context instantiation strategies, component- ...","https://scholar.google.com.au//scholar?cites=11166271463463455024&amp;as_sdt=2005&amp;sciodt=0,5&amp;hl=en",
"528","M Felleisen, R Hieb - Theoretical computer science, 1992 - Elsevier","The revised report on the syntactic theories of sequential control and state"," 1992 ","Abstract The syntactic theories of control and state are conservative extensions of the ? ?- calculus for equational reasoning about imperative programming facilities in higher-order languages. Unlike the simple ? ?-calculus, the extended theories are mixtures of ...","https://scholar.google.com.au//scholar?cites=12568931617097745834&amp;as_sdt=2005&amp;sciodt=0,5&amp;hl=en",
"191","PJ Denning - Communications of the ACM, 2005 - dl.acm.org","Is computer science science?"," 2005 ","The profession of IT: Is computer science science? ... Computer science meets every criterion for being a science, but it has a self-inflicted credibility problem. ... Sure, it is the science of information processes and their interactions with the world. ... I'll accept that what you do is ...","https://scholar.google.com.au//scholar?cites=17317744018525439899&amp;as_sdt=2005&amp;sciodt=0,5&amp;hl=en",
"155","JV Leeuwen, J Hartmanis, G Goos - 1995 - dl.acm.org","Computer science today: recent trends and developments"," 1995 ","Computer Science Today: Recent Trends and Developments. ... Publication: Cover Image. ? Book, Computer Science Today: Recent Trends and Developments. 1st Springer-Verlag New York, Inc. Secaucus, NJ, USA ?1995 ISBN:3540601058. 1995 Book. Bibliometrics. ...","https://scholar.google.com.au//scholar?cites=9812333748967944634&amp;as_sdt=2005&amp;sciodt=0,5&amp;hl=en",
"3559","H Samet - 1990 - books.google.com","The design and analysis of spatial data structures"," 1990 ","... Bibliographic information. QR code for The Design and Analysis of Spatial Data Structures. Title, The Design and Analysis of Spatial Data Structures Volume 50255 of Addison-Wesley Series in Computer Science Computer Science Series. Author, Hanan Samet. ...","https://scholar.google.com.au//scholar?cites=14222918578342636930&amp;as_sdt=2005&amp;sciodt=0,5&amp;hl=en",
"433","CA Ellis, GJ Nutt - ACM Computing Surveys (CSUR), 1980 - dl.acm.org","Office information systems and computer science"," 1980 ","Automated office systems are emerging as an interdisciplinary research area with a strong computer science component. In this paper office information systems are defined as entities which perform document storage, retrieval, manipulation, and control within a distributed ...","https://scholar.google.com.au//scholar?cites=412494954151682476&amp;as_sdt=2005&amp;sciodt=0,5&amp;hl=en",
"1231","J McDermott - Artificial intelligence, 1982 - Elsevier","R1: A rule-based configurer of computer systems"," 1982 ","... John McDermott. Department of Computer Science, Carnegie-Mellon University, Schenley Park, Pittsburgh, PA 15213, USA. Available online 11 February 2003 Recommended by Edward A. Feigenbaum. Abstract. ... of Computer Science (1979). 6. CL Forgy; ...","https://scholar.google.com.au//scholar?cites=15798888973584593525&amp;as_sdt=2005&amp;sciodt=0,5&amp;hl=en",
"366","JCM Baeten, WP Weijland - 1990 - Cambridge University Press Great ?","Process algebra, volume 18 of Cambridge tracts in theoretical computer science"," 1990 ","","https://scholar.google.com.au//scholar?cites=2033503370070562623&amp;as_sdt=2005&amp;sciodt=0,5&amp;hl=en",
"466","M Bellare, J Kilian, P Rogaway - ? of Computer and System Sciences, 2000 - Elsevier","The security of the cipher block chaining message authentication code"," 2000 ","... a Department of Computer Science & Engineering, University of California at San Diego, 9500 Gilman Drive, La Jolla, California, 92093, f1; ... in: M. Wiener (Ed.), Advances in Cryptology? CRYPTO '99, Lecture Notes in Computer Science, 1666, Springer-Verlag, Berlin (1999), pp. ...","https://scholar.google.com.au//scholar?cites=11920412206899909016&amp;as_sdt=2005&amp;sciodt=0,5&amp;hl=en",
"360","A Fiat - 1998 - citeulike.org","Online Algorithms: The State of the Art (Lecture Notes in Computer Science)"," 1998 ","Abstract This coherent anthology presents the state of the art in the booming area of online algorithms and competitive analysis of such algorithms. The 17 papers are carefully revised and thoroughly improved versions of presentations given first during a Dagstuhl seminar ...","https://scholar.google.com.au//scholar?cites=12151125651985461539&amp;as_sdt=2005&amp;sciodt=0,5&amp;hl=en",
"443","Y Gurevich - 1985 - research.microsoft.com","Logic and the challenge of computer science"," 1985 ","Abstract?Nowadays computer science is surpassing mathematics as the primary field of logic applications, but logic is not tuned properly to the new role. In particular, classical logic is preoccupied mostly with infinite static structures whereas many objects of interest in ...","https://scholar.google.com.au//scholar?cites=13383492792814974263&amp;as_sdt=2005&amp;sciodt=0,5&amp;hl=en",
"356","JM Spivey - 1992 - Prentice-Hall, New York, NY,","The Z notation: a reference manual. International Series in Computer Science"," 1992 ","","https://scholar.google.com.au//scholar?cites=1290129145792227137&amp;as_sdt=2005&amp;sciodt=0,5&amp;hl=en",
"256","L Babai, P Frankl - 1992 - ? Computer Science, univ. of Chicag","Linear Algebra Methods in Combinatorics: With Applications to Geometry and Computer Science"," 1992 ","","https://scholar.google.com.au//scholar?cites=14160021829225570274&amp;as_sdt=2005&amp;sciodt=0,5&amp;hl=en",
"296","L Buechley, M Eisenberg, J Catchen? - Proceedings of the ?, 2008 - dl.acm.org","The LilyPad Arduino: using computational textiles to investigate engagement, aesthetics, and diversity in computer science education"," 2008 ","Abstract The advent of novel materials (such as conductive fibers) combined with accessible embedded computing platforms have made it possible to re-imagine the landscapes of fabric and electronic crafts--extending these landscapes with the creative range of ...","https://scholar.google.com.au//scholar?cites=3027643874683929185&amp;as_sdt=2005&amp;sciodt=0,5&amp;hl=en",
"1407","EG Coffman, JL Bruno - 1976 - John Wiley & Sons","Computer and job-shop scheduling theory"," 1976 ","","https://scholar.google.com.au//scholar?cites=2669035647356395443&amp;as_sdt=2005&amp;sciodt=0,5&amp;hl=en",
"220","N WIRTH - 1966 - cs2.ist.unomaha.edu","Computer Science Department Slanford University Stanford, California"," 1966 ","University of Liverpool in a letter received about the same time as the above letter. To avoid duplication, we will not print Professor Wart's letter here, except to mention that he suggests an even higher degree of parallelism so that" a:= b and b:= a" is to denote interchange of ...","https://scholar.google.com.au//scholar?cites=2263627387041311612&amp;as_sdt=2005&amp;sciodt=0,5&amp;hl=en",
"2131","G Berry, G Gonthier - Science of computer programming, 1992 - Elsevier","The Esterel synchronous programming language: Design, semantics, implementation"," 1992 ","Abstract We present the E sterel programming language which is especially designed to program reactive systems, that is systems which maintain a permanent interaction with their environment: real-time process controllers, communication protocols, man-machine ...","https://scholar.google.com.au//scholar?cites=7055867594863660841&amp;as_sdt=2005&amp;sciodt=0,5&amp;hl=en",
"346","W Reisig - 1985 - Springer-Verlag","Petri nets: an introduction, volume 4 of EATCS monographs on theoretical computer science"," 1985 ","","https://scholar.google.com.au//scholar?cites=7226363606756745021&amp;as_sdt=2005&amp;sciodt=0,5&amp;hl=en",
"2707","JC Giarratano, G Riley - 1998 - dl.acm.org","Expert systems"," 1998 ","... The result is a self-contained book and CD-ROM package for computer science, engineering, and CIS/MIS students and professionals that provides the conceptual background and programming tools needed to understand and implement expert systems. top of page AUTHORS. ...","https://scholar.google.com.au//scholar?cites=14328394046136367256&amp;as_sdt=2005&amp;sciodt=0,5&amp;hl=en",
"164","S Abramsky, DM Gabbay, TSE Maibaum - 1992 - tocs.ulb.tu-darmstadt.de","Handbook of logic in computer science"," 1992 ","1 Languages and notions of computability 84 1.1 Data types and coding 85 1.2 The imperative paradigm 87 1.3 The functional paradigm 99 1.4 Recursive functions 109 1.5 Universality 113 2 Computability and non-computability 124 2.1 Non-computability 124 ...","https://scholar.google.com.au//scholar?cites=1418207615209991432&amp;as_sdt=2005&amp;sciodt=0,5&amp;hl=en",
